"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"d:\Projects\streetbank\lib\app_localization.dart", "Dart", 43, 0, 1, 13, 57
"d:\Projects\streetbank\lib\helper\constants.dart", "Dart", 16, 0, 8, 11, 35
"d:\Projects\streetbank\lib\helper\customRoute.dart", "Dart", 35, 0, 0, 4, 39
"d:\Projects\streetbank\lib\helper\enum.dart", "Dart", 6, 0, 0, 2, 8
"d:\Projects\streetbank\lib\helper\routes.dart", "Dart", 73, 0, 0, 5, 78
"d:\Projects\streetbank\lib\helper\theme.dart", "Dart", 124, 0, 1, 11, 136
"d:\Projects\streetbank\lib\helper\utility.dart", "Dart", 93, 0, 2, 20, 115
"d:\Projects\streetbank\lib\lang\ar.json", "JSON", 0, 46, 0, 9, 55
"d:\Projects\streetbank\lib\lang\en.json", "JSON", 0, 46, 0, 9, 55
"d:\Projects\streetbank\lib\main.dart", "Dart", 87, 0, 0, 11, 98
"d:\Projects\streetbank\lib\models\chatModel.dart", "Dart", 42, 0, 0, 5, 47
"d:\Projects\streetbank\lib\models\languageModel.dart", "Dart", 13, 0, 0, 3, 16
"d:\Projects\streetbank\lib\models\notificationModel.dart", "Dart", 17, 0, 1, 4, 22
"d:\Projects\streetbank\lib\models\userModel.dart", "Dart", 85, 0, 0, 4, 89
"d:\Projects\streetbank\lib\screens\authentication\login.dart", "Dart", 244, 0, 1, 14, 259
"d:\Projects\streetbank\lib\screens\authentication\signup.dart", "Dart", 210, 0, 0, 12, 222
"d:\Projects\streetbank\lib\screens\chat\chat_screen_page.dart", "Dart", 367, 0, 1, 25, 393
"d:\Projects\streetbank\lib\screens\chat\chats_list_page.dart", "Dart", 141, 0, 4, 9, 154
"d:\Projects\streetbank\lib\screens\chat\full_screen_image.dart", "Dart", 43, 0, 0, 4, 47
"d:\Projects\streetbank\lib\screens\favorites.dart", "Dart", 224, 0, 21, 29, 274
"d:\Projects\streetbank\lib\screens\mainscreen.dart", "Dart", 316, 0, 18, 26, 360
"d:\Projects\streetbank\lib\screens\products\add_product.dart", "Dart", 187, 0, 1, 25, 213
"d:\Projects\streetbank\lib\screens\products\product_info.dart", "Dart", 108, 0, 1, 4, 113
"d:\Projects\streetbank\lib\screens\products\products_screen.dart", "Dart", 278, 0, 19, 31, 328
"d:\Projects\streetbank\lib\screens\profile.dart", "Dart", 64, 0, 0, 5, 69
"d:\Projects\streetbank\lib\screens\splash.dart", "Dart", 98, 0, 2, 9, 109
"d:\Projects\streetbank\lib\screens\update_user.dart", "Dart", 139, 0, 0, 5, 144
"d:\Projects\streetbank\lib\states\appState.dart", "Dart", 9, 0, 0, 2, 11
"d:\Projects\streetbank\lib\states\authState.dart", "Dart", 247, 0, 26, 30, 303
"d:\Projects\streetbank\lib\states\chat\chatState.dart", "Dart", 289, 0, 36, 27, 352
"d:\Projects\streetbank\lib\states\notificationState.dart", "Dart", 190, 0, 76, 26, 292
"d:\Projects\streetbank\lib\states\searchState.dart", "Dart", 44, 0, 1, 6, 51
"d:\Projects\streetbank\lib\widgets\customAppBar.dart", "Dart", 121, 0, 0, 8, 129
"d:\Projects\streetbank\lib\widgets\customWidgets.dart", "Dart", 143, 0, 1, 12, 156
"d:\Projects\streetbank\lib\widgets\full_photo.dart", "Dart", 39, 0, 0, 11, 50
"d:\Projects\streetbank\lib\widgets\newWidget\customLoader.dart", "Dart", 97, 0, 1, 12, 110
"d:\Projects\streetbank\lib\widgets\newWidget\emptyList.dart", "Dart", 44, 0, 0, 7, 51
"d:\Projects\streetbank\lib\widgets\newWidget\rippleButton.dart", "Dart", 37, 0, 0, 3, 40
"d:\Projects\streetbank\lib\widgets\newWidget\title_text.dart", "Dart", 32, 0, 0, 2, 34
"d:\Projects\streetbank\lib\widgets\processDialog.dart", "Dart", 38, 0, 0, 3, 41
"Total", "-", 4383, 92, 222, 458, 5155